,X,Rk,Player,Nation,Pos,Squad,Rank,Age,Born,MP,Starts,Min,X90s,Goals,Shots,SoT,SoT.,G.Sh,G.SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp.,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp.,PasMedCmp,PasMedAtt,PasMedCmp.,PasLonCmp,PasLonAtt,PasLonCmp.,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri.,TklDriPast,Press,PresSucc,Press.,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl.Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc.,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec.,RecProg,CrdY,CrdR,X2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon.
52,231,231,Timo Baumgartl,GER,CB,Union Berlin,B,26,1996,25,25,2166,24.1,0.04,0.54,0.17,30.8,0.08,0.25,8.7,0,0,0,38.9,48.4,80.3,855.5,314.9,10.7,12.6,85.5,20.5,23.3,88.1,7.3,11.9,61.5,0.08,0.21,3.03,0.29,0.17,3.24,48.4,46,2.41,2.12,0.04,5.93,1.62,0.5,0,0,0,0,33.8,4.11,10.5,10,33.8,2.28,0.17,0.21,38.9,0.25,1.24,1.2,0.41,0.66,0.41,0.04,0,0.17,0,0.04,0.08,0.04,0,0,0.04,0,0,2.9,1.54,1.99,0.87,0.04,1.45,2.16,67.3,0.71,15.7,6.27,39.8,7.8,6.76,1.16,1.87,0.5,0,1.37,1.83,4.73,3.4,0,59.5,6.47,31.5,28.1,3.73,1.29,57.3,0.17,0.33,50,0.17,0.04,33.9,171.4,84.8,1.87,0.25,0.08,0.37,0.33,37.1,35.4,95.2,0.29,0.21,0,0,1.24,0.58,0,0.5,1.54,0,0,0.08,10.7,3.44,2.37,59.3
53,240,240,Rodrigo Becao,BRA,CB,Udinese,B,26,1996,35,35,3130,34.8,0.06,0.55,0.14,26.3,0.11,0.4,12.6,0,0,0,32,40.2,79.7,607.5,227.6,12.2,13.4,90.8,15.3,17.8,85.8,3.76,7.3,51.6,0.03,0.26,1.18,0.14,0.03,1.47,40.2,35.8,4.4,1.38,0,4.14,0.6,0.34,0,0,0,0,28.7,3.56,7.87,2.5,32,1.15,2.99,0.37,32,0.03,0.8,0.75,0.8,0.66,0.46,0.06,0.03,0.03,0.09,0,0.03,0.03,0,0,0,0,0,2.73,2.07,1.61,1.01,0.11,1.15,2.18,52.6,1.03,13.2,5.43,41.2,6.93,5.4,0.86,1.52,0.63,0.03,0.89,1.7,4.43,3.02,0.09,49.9,6.75,25.2,21.6,5.52,1.24,45.8,0.14,0.23,62.5,0.14,0,27.1,126.4,76.1,1.84,0.63,0.06,0.26,0.29,29.3,27.9,95.2,0.6,0.29,0,0,1.95,1.41,0.11,0.34,2.07,0,0.03,0,7.7,2.1,1.09,65.8
54,243,243,Jan Bednarek,POL,CB,Southampton,A,26,1996,31,30,2629,29.2,0.14,0.65,0.24,36.8,0.21,0.57,7.9,0,0,0,40.6,49,82.8,838.8,251.9,13.5,14.9,91,20.7,23.1,89.8,5.86,10.1,58,0,0.21,2.57,0.03,0.03,1.75,49,46.2,2.81,1.44,0,6.3,1.13,0.21,0,0,0,0,33.4,4.14,11.5,6.92,35.2,3.29,1.34,0.14,40.6,0.03,1.1,0.58,0.34,0.65,0.55,0.07,0,0,0,0.03,0,0,0,0,0,0,0,1.27,0.72,0.79,0.45,0.03,0.62,1.27,48.6,0.65,8.15,2.6,31.9,4.45,3.49,0.21,2.19,1.03,0.03,1.16,3.25,4.52,5.79,0,61.2,8.18,29.8,31.3,2.77,1.03,58.6,0.03,0.07,50,0.03,0,31.7,142.7,68,0.92,0.03,0,0.03,0.14,34.3,33.5,97.8,0.14,0.34,0,0,1.3,0.58,0.03,0.21,0.72,0,0.03,0.03,11.1,3.9,2.05,65.5
55,253,253,Stefan Bell,GER,CB,Mainz 05,B,30,1991,33,33,2864,31.8,0.06,0.69,0.16,22.7,0.09,0.4,9.3,0,0,0,36.7,46.5,78.8,733.5,300.5,12.2,13.7,88.8,19.5,22.4,87.2,4.53,9.21,49.1,0,0.31,2.33,0.22,0.03,2.64,46.5,45.2,1.29,1.07,0,7.08,0.47,0.35,0,0,0,0,29.6,5.19,11.7,5.38,34.6,3.43,0.22,0.35,36.7,0.13,0.91,1.19,0.79,0.44,0.44,0,0,0,0,0,0,0,0,0,0,0,0,2.01,1.07,1.48,0.44,0.09,0.79,2.01,39.1,1.23,10.3,3.93,38.3,5.85,3.93,0.47,1.26,0.5,0,0.75,2.08,4.09,4.94,0.06,57.3,7.96,34.4,21.7,3.84,1.45,56,0.25,0.31,80,0.28,0.03,30.3,139.2,69.5,1.16,0.38,0,0.25,0.22,33.1,32.3,97.7,0.47,0.28,0,0,1.64,0.16,0.19,0.35,1.07,0,0.03,0.03,11.9,4.31,1.76,71
56,254,254,Armel Bella Kotchap,GER,CB,Bochum,B,20,2001,22,20,1768,19.6,0,0.51,0.15,30,0,0,16.1,0,0,0,29.8,37.9,78.7,740.6,185.8,6.02,7.76,77.6,15.2,16.8,90.3,8.37,12.7,65.9,0,0.15,1.99,0.1,0.05,1.43,37.9,36.7,1.17,0.66,0.1,4.85,1.28,0.1,0,0,0,0,24.1,3.88,9.9,7.76,25.1,2.6,0.51,0.31,29.8,0.05,1.58,0.61,0.41,0.46,0.41,0.05,0,0,0,0,0,0,0,0,0,0,0,2.04,1.22,1.48,0.56,0,0.66,1.12,59.1,0.46,13,4.54,35,7.35,5.05,0.56,1.84,1.17,0.05,0.66,3.27,5.31,5.82,0,51.2,8.83,32.1,21.1,2.19,0.92,50.3,0.05,0.05,100,0.05,0,26.8,181,78.3,0.97,0.56,0,0.41,0.31,27.8,26.9,96.9,0.1,0.26,0,0,1.43,1.58,0.15,0.1,1.22,0,0,0.1,8.83,2.96,1.02,74.4
62,307,307,Jordan Beyer,GER,CB,M'Gladbach,B,22,2000,17,15,1384,15.4,0,0.45,0,0,0,0,11.1,0,0,0,54.1,60.6,89.3,1085.5,300.3,17.2,18.9,91.1,29.8,31.8,93.9,6.69,9.03,74.1,0,0.32,1.82,0.26,0,2.66,60.6,58.2,2.34,1.04,0,6.17,1.43,0.32,0,0,0,0,49.4,4.94,6.3,7.99,48.3,2.34,1.3,0.26,54.1,0.06,0.97,0.91,0.71,1.1,0.91,0.06,0,0,0.06,0.06,0.06,0.06,0,0,0,0,0,3.12,1.36,2.08,0.91,0.13,1.23,2.92,42.2,1.69,11.7,3.96,33.9,6.69,4.55,0.45,1.82,0.45,0,1.36,1.69,4.81,3.57,0,72.3,6.04,35.1,35.6,5.91,0.78,70.3,0.52,0.91,57.1,0.52,0,46.7,208,115.4,3.51,1.04,0.19,0.39,0.32,52.1,50.6,97.1,0.58,0.32,0,0,1.1,1.23,0,0.32,1.36,0,0.06,0,8.31,1.49,1.62,47.9
64,312,312,Pedro Bigas,ESP,CB,Elche,B,31,1990,19,19,1551,17.2,0.06,0.7,0.17,25,0.08,0.33,20.3,0.06,0,0,47.2,54.5,86.7,1011,372.8,14.1,15.2,92.7,24.7,26.7,92.6,8.08,11.9,68.1,0,0.23,2.62,0.29,0.06,2.44,54.5,51.7,2.73,2.67,0,4.36,1.28,0.17,0,0,0,0,42.6,2.56,9.36,29.1,21.1,2.79,0.06,0.23,47.2,0.12,0.7,0.81,0.29,0.58,0.41,0,0,0.06,0.12,0,0.06,0.06,0,0,0,0,0,1.57,1.22,1.22,0.23,0.12,0.41,1.1,36.8,0.7,8.49,2.85,33.6,5.41,2.56,0.52,1.34,0.81,0,0.52,1.86,3.43,4.53,0.06,64.4,8.37,34.9,30.5,3.08,0.7,61.8,0.23,0.41,57.1,0.23,0,39.5,226.8,120.1,3.08,0.58,0,0.35,0,44,43.3,98.5,0.29,0.35,0,0,0.99,0.7,0,0.17,1.22,0,0,0,7.91,2.03,0.76,72.9
66,327,327,Jerome Boateng,GER,CB,Lyon,B,33,1988,24,19,1622,18,0,0.28,0.17,60,0,0,16.4,0,0,0,54.4,61.7,88.3,1297.1,402.8,10.9,11.7,93.3,30.9,32.3,95.5,12.4,17.2,72.3,0.06,0.39,4.5,0.33,0.06,4.22,61.7,59.7,2,1.83,0.22,4.11,1.61,0.17,0,0,0,0,49.2,3.44,9,12.4,46.8,1.72,0.11,0.22,54.4,0.06,0.56,1.61,0.17,1.06,0.89,0.06,0,0.11,0,0,0.11,0.11,0,0,0,0,0,1.22,0.83,0.67,0.56,0,0.5,1.06,47.4,0.56,6.06,2.28,37.6,2.44,3.28,0.33,1.33,0.5,0.06,0.83,1.89,3.11,4,0,69.9,8.22,35.2,37.2,1.78,0.67,68,0.06,0.17,33.3,0.06,0.06,45.7,252.1,133.1,2.94,0.17,0,0.06,0,50.3,49.9,99.1,0.06,0.33,0,0,0.94,0.11,0,0.17,0.83,0,0,0,8,1,0.61,62.1
67,342,342,Kevin Bonifazi,ITA,CB,Bologna,B,26,1996,22,14,1210,13.4,0,0.67,0,0,0,0,13.3,0,0,0,41.5,50.2,82.6,906.5,312.9,12.9,14.2,91.1,20.1,22.6,88.8,8.06,12.7,63.5,0,0.3,3.51,0.22,0.07,3.51,50.2,47.5,2.69,2.16,0.07,6.12,2.01,0.22,0,0,0,0,34.3,5.52,10.4,17.3,29.6,1.42,0.37,0.3,41.5,0,0.97,0.97,0.67,0.9,0.6,0,0.15,0.15,0,0,0.07,0,0,0,0.07,0,0,1.87,1.42,1.12,0.52,0.22,0.82,1.42,57.9,0.6,10.6,4.1,38.7,5.75,3.88,0.97,1.79,0.6,0,1.19,1.72,3.58,4.03,0,60.9,8.36,29.3,31.9,4.25,0.75,58.4,1.04,1.19,87.5,1.04,0,40.4,257.8,117.5,2.69,0.75,0,0.75,0.6,37.8,37.2,98.2,0.07,0.3,0.07,0.07,1.19,0.82,0,0.22,1.42,0,0.07,0.07,11.3,2.69,1.27,67.9
68,344,344,Leonardo Bonucci,ITA,CB,Juventus,B,35,1987,24,22,2005,22.3,0.22,0.63,0.13,21.4,0.14,0.67,9.5,0,0.13,0.13,49.6,57.4,86.5,1269,458.7,8.48,9.15,92.6,26.4,28.2,93.6,14.3,19.1,74.9,0,0.22,3.45,0.18,0,2.91,57.4,53.4,4.04,2.78,0.04,4.53,3.09,0.09,0,0,0,0,39.2,5.43,12.7,10.4,44.1,1.39,0.13,0.27,49.6,0.4,0.4,1.12,0.45,0.63,0.58,0,0,0.04,0,0,0.09,0.09,0,0,0,0,0,0.72,0.31,0.27,0.45,0,0.4,0.49,81.8,0.09,4.39,1.75,39.8,2.11,2.15,0.13,1.7,0.85,0,0.85,1.57,2.29,3.95,0.04,66.3,14.3,38.3,28.9,1.84,0.99,62.3,0.13,0.22,60,0.13,0,38,158.7,77.5,0.81,0.04,0,0.04,0.09,47.4,46.4,98,0,0.04,0,0,0.9,0.4,0.04,0.09,0.31,0,0.04,0,7.26,2.02,1.79,52.9
69,345,345,Sebastiaan Bornauw,BEL,CB,Wolfsburg,B,23,1999,27,23,2007,22.3,0.04,0.58,0.18,30.8,0.08,0.25,9.8,0,0,0,45,52.2,86.3,1043.3,292.2,9.24,10.9,85.1,26,28.4,91.5,9.55,12.4,77.2,0,0.18,1.3,0,0,1.08,52.2,50.6,1.61,1.12,0,5.83,1.3,0.09,0,0,0,0,39.6,3.9,8.65,7.35,39.3,2.83,0.18,0.18,45,0.22,0.85,0.49,0.54,0.18,0.13,0.04,0,0,0,0,0,0,0,0,0,0,0,1.43,0.99,0.94,0.49,0,0.58,1.03,56.5,0.45,9.87,3.77,38.2,6.64,2.96,0.27,1.88,0.4,0,1.48,1.97,3.41,4.57,0,62.3,9.51,38.7,24.4,1.26,1.12,60.7,0.09,0.13,66.7,0.09,0,36.9,152,53.4,0.63,0.04,0,0.09,0.18,41.3,40.4,98,0.18,0.18,0,0,1.12,0.27,0.09,0.09,0.99,0,0.04,0,9.01,3.77,2.33,61.8
70,347,347,Sven Botman,NED,CB,Lille,A,22,2000,25,25,2250,25,0.12,0.6,0.2,33.3,0.2,0.6,9.4,0,0,0,53.2,59.7,89.1,1143.6,383.2,16.7,18.1,92.5,26.3,28,93.9,9.76,12.6,77.7,0.04,0.28,2.84,0.08,0,2.88,59.7,57.7,1.96,1.8,0.04,5.84,2.28,0,0,0,0,0,47.9,4.6,7.2,40.1,15.2,2.48,0.16,0.12,53.2,0.16,0.72,1.12,0.68,0.56,0.52,0,0.04,0,0,0,0.04,0.04,0,0,0,0,0,1.44,1,0.88,0.56,0,0.36,0.84,42.9,0.48,7,2.76,39.4,4.48,2.44,0.08,2.16,0.88,0,1.28,1.52,2.96,4.8,0.04,70.1,10.6,37.7,34.1,1.6,0.92,68.3,0.08,0.16,50,0.12,0,43.3,212.5,111.4,2.44,0.2,0,0.24,0.04,49.5,48.4,97.9,0,0.16,0,0,0.76,0.44,0.04,0,1,0,0.08,0,8.24,2.96,1.08,73.3
71,360,360,Dedryck Boyata,BEL,CB,Hertha BSC,B,31,1990,23,22,1898,21.1,0,0.47,0.09,20,0,0,8.9,0,0,0,32.5,37.8,85.8,713.6,190.8,8.1,8.91,91,18.2,19.7,92.3,5.97,8.77,68.1,0,0.24,0.71,0.14,0,0.81,37.8,36.8,1,0.95,0,4.88,0.85,0.09,0,0,0,0,27.6,3.7,6.54,5.07,28.8,2.56,0,0.24,32.5,0.09,0.9,0.52,0.33,0.47,0.33,0,0.05,0.05,0.05,0,0.09,0.05,0,0,0,0.05,0,0.81,0.57,0.52,0.24,0.05,0.33,0.52,63.6,0.19,4.45,1.61,36.2,3.03,1.33,0.09,1.47,0.71,0,0.76,1.09,1.9,6.64,0.09,48.5,11.4,32.5,17,1.42,0.9,47.5,0.05,0.14,33.3,0.09,0,24.4,124.8,55.3,0.47,0,0,0.14,0,29,28.2,97.5,0.09,0.05,0.05,0,0.52,0.24,0.14,0.09,0.57,0.05,0,0,7.77,3.18,1.33,70.5
72,369,369,Lilian Brassier,FRA,CB,Brest,B,22,1999,31,23,2263,25.1,0.04,0.44,0.08,18.2,0.09,0.5,19.2,0,0,0,40.5,49.7,81.4,945.5,336.9,10.7,12,89,19,21.2,89.8,10.4,15.1,68.4,0,0.28,3.43,0.44,0.08,3.39,49.7,46.1,3.59,1.67,0.12,3.9,1.79,0.52,0,0,0,0,35.1,3.67,10.9,38.8,6.45,1.59,1.91,0.12,40.5,0,0.96,1.24,0.88,0.84,0.72,0.04,0,0.04,0,0.04,0.04,0.04,0,0,0,0,0,1.91,1.16,1.24,0.6,0.08,0.28,0.64,43.8,0.36,10.8,3.78,35.2,6.57,3.67,0.52,1.87,0.88,0.08,1,2.39,4.3,4.58,0,61,7.77,33,28,4.22,0.88,57.6,0.2,0.52,38.5,0.2,0.08,37.3,232.7,130.9,2.95,0.64,0.16,0.48,0.32,39,37.8,96.7,0.28,0.16,0,0,0.96,0.68,0,0.52,1.16,0,0.04,0.04,7.93,1.99,1.04,65.8
73,375,375,Gleison Bremer,BRA,CB,Torino,A,25,1997,33,33,2890,32.1,0.09,0.87,0.31,35.7,0.11,0.3,9.1,0,0,0,37.2,43.7,85.1,848.7,218.7,8.38,9.84,85.1,20.2,22.2,91,8.16,10.7,75.9,0.03,0.22,1.65,0.06,0,1.65,43.7,42.9,0.84,0.72,0,6.7,0.72,0.03,0,0,0,0,31,4.45,8.22,6.26,31.8,2.59,0.03,0.25,37.2,0.09,0.59,0.28,0.5,0.69,0.44,0.03,0,0.16,0,0.06,0.06,0.03,0,0,0.03,0,0,1.59,0.84,0.75,0.81,0.03,0.25,0.56,44.4,0.31,16.9,6.82,40.5,8.22,8.04,0.59,2.68,0.84,0,1.84,3.64,5.23,6.2,0.03,58.7,7.04,30.2,28.9,3.05,1.68,57.9,0.34,0.53,64.7,0.37,0,31.4,170.9,68.7,1.4,0.31,0.03,0.4,0.5,28.7,27.6,96.3,0.25,0.22,0,0,2.21,0.69,0.16,0.03,0.84,0,0,0,14.3,4.8,4.21,53.3
74,380,380,Dylan Bronn,TUN,CB,Metz,B,26,1995,30,28,2545,28.3,0.04,0.53,0.25,46.7,0.07,0.14,12.9,0,0,0,33.9,41,82.5,753.4,272.7,9.93,11.1,89.2,17.1,18.7,91.9,6.43,10.2,62.8,0.07,0.11,2.16,0.11,0.07,1.87,41,38,3,1.94,0.11,4.06,1.38,0.32,0,0,0,0,30,3.25,7.81,3.6,34.2,1.7,1.06,0.04,33.9,0.14,0.64,1.31,0.74,0.42,0.39,0,0,0.04,0,0,0.14,0.11,0,0,0.04,0,0,1.8,1.1,1.24,0.46,0.11,0.74,1.24,60,0.49,10.3,3.75,36.4,5.94,4.03,0.32,2.01,0.74,0.07,1.27,2.08,3.89,3.04,0.04,50.2,6.22,27.5,24,2.26,0.53,47.5,0.25,0.35,70,0.25,0,30.7,154.4,98.3,1.94,0.39,0,0.25,0.32,31.7,30.7,97,0.11,0.35,0.04,0.04,1.17,0.42,0.11,0.32,1.1,0,0,0,6.89,1.17,1.1,51.6
75,381,381,John Brooks,USA,CB,Wolfsburg,B,29,1993,31,29,2615,29.1,0.03,0.41,0.07,16.7,0.08,0.5,13,0,0,0,49.9,58.3,85.6,1160.1,402.7,11,11.8,92.7,28.7,31,92.5,9.97,14.5,68.7,0.03,0.24,3.75,0.27,0.03,3.88,58.3,55.8,2.51,2.23,0.03,5.5,2.51,0.14,0,0,0,0,42.5,4.88,10.9,42.1,10.7,3.16,0.24,0.41,49.9,0.17,0.96,1.1,0.69,0.62,0.52,0,0.03,0.03,0,0.03,0.03,0.03,0,0,0,0,0,1.62,0.86,1,0.58,0.03,1.07,1.99,53.4,0.93,8.18,3.16,38.7,4.95,2.82,0.41,1.79,0.72,0,1.07,2.1,3.71,5.4,0.07,69.8,9.42,38.2,34,2.54,0.89,67.5,0.41,0.62,66.7,0.41,0.03,42.6,234.9,116.6,2.51,0.62,0.03,0.34,0.14,45.1,44.2,97.9,0.14,0.07,0,0,0.34,0.55,0.03,0.14,0.86,0,0.03,0,10.5,2.92,1.65,63.9
77,394,394,Alessandro Buongiorno,ITA,CB,Torino,B,22,1999,23,12,1181,13.1,0,0.38,0.08,20,0,0,7.6,0,0,0,33.7,41.6,81.1,618.8,183.7,15.1,16.9,89.6,13.9,16.7,83.1,4.2,6.79,61.8,0.08,0.38,2.6,0.08,0.08,2.06,41.6,40.3,1.3,1.15,0.08,4.96,0.61,0.46,0,0,0,0,29.5,3.74,8.32,30.5,4.66,3.44,0.15,0.23,33.7,0.15,1.6,0.84,0.76,0.61,0.46,0,0,0.08,0.08,0,0.15,0.15,0,0,0,0,0,1.76,0.99,0.76,0.76,0.23,0.76,1.22,62.5,0.46,12.8,4.43,34.5,5.8,5.8,1.22,1.22,0.53,0,0.69,2.67,4.43,3.59,0,52.7,4.66,21.6,28,6.18,0.92,51.7,0.15,0.38,40,0.15,0,28.6,137.9,69.1,2.6,0.84,0,0.61,0.31,32,30.6,95.7,0.38,0.38,0,0,2.21,1.22,0.08,0.46,0.99,0,0.08,0,10.1,4.35,2.37,64.8
78,400,400,Dan Burn,ENG,CB,Newcastle Utd,B,30,1992,16,16,1440,16,0,0.69,0.06,9.1,0,0,9.3,0,0,0,28.8,35.9,80.1,591.9,160.3,8.5,10.1,84,15.6,17.8,87.7,4.06,6.81,59.6,0.06,0.13,1.69,0.06,0,1.69,35.9,35.4,0.5,0.31,0,5.88,0.44,0.06,0,0,0,0,23.4,3.81,8.63,24.4,4.31,3.75,0.19,0.19,28.8,0,1.13,0.5,0.63,0.25,0.19,0.06,0,0,0,0,0.06,0.06,0,0,0,0,0,1.56,0.75,1.13,0.38,0.06,0.5,0.75,66.7,0.25,9,3.5,38.9,5.56,3.13,0.31,2.06,1,0,1.06,1.81,3.38,7.13,0,48.8,8.63,26.5,21.3,2.69,1.44,48.3,0,0.06,0,0,0,22.1,127.4,49.3,0.81,0,0,0.19,0.13,24.9,24,96.2,0.13,0.25,0,0,0.81,0.31,0.31,0.06,0.75,0,0,0,10.8,5.63,1.75,76.3
82,415,415,Leandro Cabrera,URU,CB,Espanyol,B,30,1991,37,37,3330,37,0.05,0.46,0.16,35.3,0.12,0.33,10.2,0,0,0,38,50,75.9,854.6,392.9,10.8,12.4,86.7,18.3,20.9,87.6,8.24,15.5,53.2,0,0.19,2.86,0.05,0,2.49,50,44.8,5.22,2.54,0,4.57,1.62,0.22,0,0,0,0,30.2,4.7,15.1,38.3,5.97,2.51,2.03,0.05,38,0.35,1.22,1.22,0.81,0.7,0.57,0.05,0,0.08,0,0,0.11,0.05,0.03,0,0.03,0,0,1.16,0.73,0.86,0.27,0.03,0.57,1.11,51.2,0.54,7.54,2.32,30.8,4.97,2.03,0.54,1.24,0.62,0.03,0.62,1.76,2.92,6.41,0.08,61.3,12.6,34.6,26.5,2.68,0.68,56.2,0.14,0.19,71.4,0.14,0,33.5,138.2,60.4,0.86,0.3,0,0.16,0.16,37.4,36.9,98.7,0.19,0.19,0,0,1,0.65,0.05,0.22,0.73,0,0.05,0.03,7.43,2.57,1.35,65.5
85,431,431,Mattia Caldara,ITA,CB,Venezia,B,28,1994,31,30,2704,30,0.03,0.53,0.23,43.8,0.06,0.14,13.7,0,0,0,31.3,38.4,81.4,703.8,238.1,8.87,9.93,89.3,15.5,17.6,87.9,6.83,10.4,65.7,0,0.03,1.7,0.07,0,1.67,38.4,36.7,1.73,1.4,0,4.07,0.7,0.07,0,0,0,0,25.5,3.2,9.77,3.67,30.7,2.4,0.27,0.13,31.3,0.13,0.8,0.87,0.3,0.57,0.27,0,0,0.13,0.13,0.03,0.07,0,0,0,0.03,0.03,0,1.97,1.13,1.47,0.4,0.1,0.63,1.37,46.3,0.73,11.1,3.9,35.2,7.47,2.8,0.8,2.57,1.37,0,1.2,2.63,4.6,5.17,0.03,50.8,12.1,32.6,18.6,2.33,0.77,49.3,0.1,0.17,60,0.1,0,27.5,151.8,72.1,1.13,0.27,0,0.2,0.33,28.1,27.3,97.3,0.2,0.3,0,0,1,0.77,0.1,0.07,1.13,0.03,0.03,0,8.53,2.5,2.17,53.6
86,433,433,Fernando Calero,ESP,CB,Espanyol,B,26,1995,16,13,1090,12.1,0,0.08,0,0,0,0,16,0,0,0,43.7,51.8,84.4,896.5,342.5,15.4,16.3,94.4,20.6,22.7,90.5,7.02,11.7,60.3,0,0.17,2.64,0,0,2.48,51.8,48.3,3.47,2.4,0,7.6,1.16,0,0,0,0,0,37.2,4.55,10.1,7.85,38.9,2.4,1.07,0.25,43.7,0.08,0.83,1.16,0.5,0.41,0.41,0,0,0,0,0,0.08,0.08,0,0,0,0,0,2.07,1.16,1.4,0.66,0,0.74,1.32,56.3,0.58,12.4,4.46,36,8.18,3.97,0.25,0.74,0.17,0,0.58,2.31,4.38,4.96,0,62.1,8.1,33.2,31.3,1.74,0.17,58.8,0.17,0.25,66.7,0.17,0,37.3,190.1,100.7,2.31,0.33,0,0.5,0.17,39.1,38.8,99.2,0,0.25,0,0,1.16,0.66,0,0,1.16,0,0.08,0,8.51,2.4,2.64,47.5
87,434,434,Duje Caleta-Car,CRO,CB,Marseille,B,25,1996,26,24,2057,22.9,0.09,0.52,0.17,33.3,0.17,0.5,9.4,0,0,0,72.8,78.9,92.3,1617,427.4,19.1,19.6,97.5,40,41.4,96.5,13.2,16.8,78.7,0,0.17,4.45,0.31,0,3.28,78.9,76.6,2.31,1.92,0.09,5.55,3.23,0.04,0,0,0,0,66.5,3.45,8.91,20.2,55.2,1.83,0.31,0.22,72.8,0.22,1.18,0.96,0.35,0.44,0.35,0.04,0,0,0.04,0,0.09,0.04,0,0,0,0.04,0,0.96,0.61,0.57,0.39,0,0.48,0.74,64.7,0.26,4.59,1.53,33.3,2.36,2.1,0.13,0.96,0.31,0,0.66,1.53,2.49,2.75,0,85.5,8.25,37.7,50.4,2.66,0.92,83.2,0,0,0,0,0,60.5,302.5,168.4,5.76,0.57,0,0.09,0.04,69.7,68.9,98.9,0.09,0.26,0,0,0.61,0.26,0.04,0.04,0.61,0.04,0,0,6.99,1.79,0.57,75.9
91,465,465,Andrea Carboni,ITA,CB,Cagliari,B,21,2001,30,25,2215,24.6,0,0.41,0,0,0,0,12.4,0,0,0,33,43.7,75.4,655.3,234,11.9,13.1,90.7,15.7,19.1,82.3,4.84,9.96,48.6,0,0.16,2.89,0.53,0.16,3.29,43.7,41.7,2.07,1.38,0.04,4.11,1.1,0.89,0,0,0,0,28,3.94,11.8,33.8,4.84,2.8,0.65,0.12,33,0.2,1.3,1.26,1.14,0.61,0.53,0,0.04,0,0,0.04,0.08,0.04,0,0.04,0,0,0,1.91,1.22,1.22,0.53,0.16,0.57,1.59,35.9,1.02,14.6,4.55,31.2,8.46,5.41,0.73,1.83,0.61,0,1.22,2.24,4.15,3.94,0.04,54.3,7.07,25,27,5.53,0.57,52.2,0.28,0.49,58.3,0.28,0.08,29.8,163.4,97.9,3.54,0.93,0,0.24,0.37,32.4,31.7,97.6,0.37,0.24,0,0,0.77,0.37,0,0.89,1.22,0,0,0.04,9.07,2.4,1.83,56.7
93,471,471,Diego Carlos,BRA,CB,Sevilla,A,29,1993,34,34,2957,32.9,0.09,0.88,0.3,34.5,0.1,0.3,13.6,0,0,0,57.5,65.1,88.4,1366.9,390.4,13.3,14,95.4,31.1,32.6,95.3,12.7,17.8,71.5,0,0.09,2.83,0.27,0,2.52,65.1,63.6,1.43,1.28,0.06,5.59,3.56,0.03,0,0,0,0,50.4,3.5,11.2,9.48,51.6,2.37,0.15,0.21,57.5,0.21,1,0.82,0.24,0.46,0.36,0,0,0.06,0,0.03,0.06,0.06,0,0,0,0,0,1.43,1.16,0.97,0.4,0.06,0.43,0.64,66.7,0.21,6.14,2.43,39.6,3.65,1.95,0.55,1.76,1.09,0,0.67,1.58,3.01,4.26,0.12,74.7,13.6,42.7,32.6,2.28,1.22,73.5,0.06,0.09,66.7,0.06,0.03,52.1,207.7,91,1.58,0.03,0,0.3,0.12,55.7,55,98.7,0.18,0.12,0.03,0.03,1.09,0.58,0.03,0.03,1.16,0,0.06,0,8.42,2.61,1.22,68.3
